Date,Open,High,Low,Close,Adj Close,Volume
2008-04-21,13995.429688,13995.429688,13995.429688,13995.429688,13995.429688,0
2008-04-22,13863.429688,13863.429688,13863.429688,13863.429688,13863.429688,0
2008-04-23,13899.839844,13899.839844,13899.839844,13899.839844,13899.839844,0
2008-04-24,13990.519531,13990.519531,13990.519531,13990.519531,13990.519531,0
2008-04-25,14089.209961,14089.209961,14089.209961,14089.209961,14089.209961,0
2008-04-28,14087.929688,14087.929688,14087.929688,14087.929688,14087.929688,0
2008-04-29,14032.540039,14032.540039,14032.540039,14032.540039,14032.540039,0
2008-04-30,13991.120117,13991.120117,13991.120117,13991.120117,13991.120117,0
2008-05-01,14220.240234,14220.240234,14220.240234,14220.240234,14220.240234,0
2008-05-02,14251.059570,14251.059570,14251.059570,14251.059570,14251.059570,0
2008-05-05,14199.059570,14199.059570,14199.059570,14199.059570,14199.059570,0
2008-05-06,14308.519531,14308.519531,14308.519531,14308.519531,14308.519531,0
2008-05-07,14066.660156,14066.660156,14066.660156,14066.660156,14066.660156,0
2008-05-08,14121.059570,14121.059570,14121.059570,14121.059570,14121.059570,0
2008-05-09,14040.049805,14040.049805,14040.049805,14040.049805,14040.049805,0
2008-05-12,14191.950195,14191.950195,14191.950195,14191.950195,14191.950195,0
2008-05-13,14206.540039,14206.540039,14206.540039,14206.540039,14206.540039,0
2008-05-14,14256.160156,14256.160156,14256.160156,14256.160156,14256.160156,0
2008-05-15,14404.219727,14404.219727,14404.219727,14404.219727,14404.219727,0
2008-05-16,14423.750000,14423.750000,14423.750000,14423.750000,14423.750000,0
2008-05-19,14423.099609,14423.099609,14423.099609,14423.099609,14423.099609,0
2008-05-20,14309.879883,14309.879883,14309.879883,14309.879883,14309.879883,0
2008-05-21,14084.219727,14084.219727,14084.219727,14084.219727,14084.219727,0
2008-05-22,14127.120117,14127.120117,14127.120117,14127.120117,14127.120117,0
2008-05-23,13954.469727,13954.469727,13954.469727,13954.469727,13954.469727,0
2008-05-27,14059.080078,14059.080078,14059.080078,14059.080078,14059.080078,0
2008-05-28,14131.110352,14131.110352,14131.110352,14131.110352,14131.110352,0
2008-05-29,14217.049805,14217.049805,14217.049805,14217.049805,14217.049805,0
2008-05-30,14260.759766,14260.759766,14260.759766,14260.759766,14260.759766,0
2008-06-02,14124.889648,14124.889648,14124.889648,14124.889648,14124.889648,0
2008-06-03,14061.910156,14061.910156,14061.910156,14061.910156,14061.910156,0
2008-06-04,14061.849609,14061.849609,14061.849609,14061.849609,14061.849609,0
2008-06-05,14339.940430,14339.940430,14339.940430,14339.940430,14339.940430,0
